Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Gord,Johns,Courtenay—Alberni,British Columbia,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Georgina,Jolibois,Desnethé—Missinippi—Churchill River,Saskatchewan,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Mélanie,Joly,Ahuntsic-Cartierville,Quebec,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Yvonne,Jones,Labrador,Newfoundland and Labrador,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Bernadette,Jordan,South Shore—St. Margarets,Nova Scotia,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Majid,Jowhari,Richmond Hill,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Peter,Julian,New Westminster—Burnaby,British Columbia,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Darshan Singh,Kang,Calgary Skyview,Alberta,Independent,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Pat,Kelly,Calgary Rocky Ridge,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Jason,Kenney,Calgary Midnapore,Alberta,Conservative,2015-10-19 12:00:00 AM,2016-09-23 11:59:59 PM
Hon.,Peter,Kent,Thornhill,Ontario,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Kamal,Khera,Brampton West,Ontario,Liberal,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Robert,Kitchen,Souris—Moose Mountain,Saskatchewan,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Tom,Kmiec,Calgary Shepard,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative,2017-04-03 12:00:00 AM,2019-10-20 11:59:59 PM
,Jenny,Kwan,Vancouver East,British Columbia,NDP,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
Hon.,Mike,Lake,Edmonton—Wetaskiwin,Alberta,Conservative,2015-10-19 12:00:00 AM,2019-10-20 11:59:59 PM
,Emmanuella,Lambropoulos,Saint-Laurent,Quebec,Liberal,2017-04-03 12:00:00 AM,2019-10-20 11:59:59 PM
